experiment_id,trial_number,question_id,human_response,model_response
15,1,HSN,longer,shorter
15,2,SMR,longer,equal
15,3,LLR,equal,longer
15,4,HSR,longer,shorter
15,5,HLN,longer,longer
15,6,LSN,equal,shorter
15,7,LMN,longer,equal
15,8,LLN,shorter,longer
15,9,HLR,longer,longer
15,10,LMR,shorter,equal
15,11,SLN,shorter,longer
15,12,HMR,longer,equal
15,13,HMN,longer,equal
15,14,SLR,longer,longer
15,15,LSR,equal,equal
15,16,SMN,equal,equal
15,17,SSN,shorter,shorter
15,18,SSR,longer,shorter
18,1,LLN,longer,longer
18,2,SLR,equal,longer
18,3,HMN,longer,equal
18,4,HMR,equal,equal
18,5,LMR,equal,equal
18,6,LSR,equal,shorter
18,7,SMN,shorter,equal
18,8,HLR,equal,longer
18,9,SSN,equal,shorter
18,10,LLR,shorter,longer
18,11,HSN,equal,shorter
18,12,SLN,equal,longer
18,13,HSR,equal,shorter
18,14,SMR,equal,equal
18,15,LMN,shorter,equal
18,16,LSN,equal,shorter
18,17,HLN,shorter,longer
18,18,SSR,equal,shorter
19,1,LSR,equal,shorter
19,2,HLN,equal,longer
19,3,SMN,equal,equal
19,4,SSN,longer,shorter
19,5,LLR,longer,longer
19,6,SLR,shorter,longer
19,7,HLR,shorter,longer
19,8,HSR,longer,shorter
19,9,LLN,longer,longer
19,10,SMR,shorter,equal
20,1,LLR,shorter,longer
20,2,SMR,equal,equal
20,3,SLR,shorter,longer
20,4,LMN,equal,equal
20,5,HMR,equal,equal
20,6,HLN,longer,longer
20,7,HLR,shorter,longer
20,8,LSN,longer,shorter
20,9,HMN,equal,equal
20,10,LSR,shorter,shorter
20,11,SLN,equal,longer
20,12,SSR,longer,shorter
20,13,LLN,longer,longer
20,14,HSR,longer,shorter
20,15,SMN,equal,equal
20,16,LMR,longer,equal
20,17,SSN,equal,shorter
20,18,HSN,shorter,shorter
22,1,HLN,equal,longer
22,2,LMN,equal,equal
22,3,LSN,longer,equal
23,1,LSN,equal,shorter
23,2,HMR,equal,equal
23,3,HSR,equal,shorter
23,4,SLR,shorter,longer
23,5,SSR,equal,shorter
23,6,LSR,equal,shorter
24,1,SSN,equal,shorter
24,2,LMN,equal,equal
24,3,SMN,equal,equal
24,4,HLR,shorter,longer
24,5,LLR,shorter,longer
24,6,HMN,equal,equal
24,7,LLN,longer,longer
24,8,SMR,equal,equal
24,9,SLR,shorter,longer
24,10,LSR,longer,shorter
24,11,HLN,longer,longer
24,12,SSR,longer,shorter
24,13,HMR,equal,equal
24,14,SLN,longer,equal
24,15,HSR,longer,shorter
24,16,LSN,equal,shorter
24,17,HSN,equal,shorter
24,18,LMR,equal,equal
25,1,SLN,equal,longer
25,2,SSR,equal,shorter
25,3,LMN,shorter,equal
25,4,SSN,equal,shorter
25,5,LLR,longer,longer
26,1,HSN,equal,shorter
26,2,SLN,equal,longer
26,3,SSR,longer,shorter
26,4,HMN,equal,equal
26,5,SMN,shorter,equal
26,6,LSN,shorter,shorter
26,7,SLR,equal,longer
26,8,LSR,shorter,shorter
26,9,LMN,longer,equal
26,10,SMR,equal,longer
26,11,SSN,shorter,shorter
26,12,HLR,shorter,longer
26,13,LLN,longer,longer
26,14,LLR,shorter,longer
26,15,LMR,shorter,equal
26,16,HLN,longer,longer
26,17,HMR,shorter,equal
26,18,HSR,shorter,shorter
29,1,LMR,shorter,equal
29,2,HLN,equal,longer
29,3,SSR,equal,shorter
29,4,LSN,shorter,shorter
30,1,LLN,equal,longer
30,2,SLN,equal,longer
32,1,LSN,shorter,shorter
32,2,HSN,shorter,shorter
32,3,HMN,shorter,equal
32,4,SMN,equal,equal
32,5,HSR,equal,shorter
32,6,LLN,longer,longer
32,7,LSR,equal,equal
32,8,SSR,longer,shorter
32,9,LLR,shorter,longer
32,10,LMN,equal,equal
32,11,SSN,shorter,shorter
32,12,HLR,shorter,longer
32,13,HMR,equal,equal
32,14,SLR,shorter,equal
32,15,SLN,equal,longer
32,16,LMR,equal,equal
32,17,SMR,equal,equal
32,18,HLN,equal,longer
33,1,SLR,shorter,equal
33,2,LLN,equal,equal
33,3,SLN,equal,longer
33,4,HSN,equal,shorter
33,5,LMN,equal,equal
33,6,SMR,equal,equal
33,7,HLR,shorter,longer
34,1,HMR,equal,equal
33,8,LSR,longer,shorter
33,9,HMN,equal,equal
33,10,HLN,longer,longer
33,11,LMR,equal,equal
33,12,SMN,equal,equal
33,13,SSR,longer,shorter
33,14,LSN,equal,shorter
33,15,HMR,equal,equal
33,16,HSR,longer,shorter
33,17,SSN,equal,equal
33,18,LLR,shorter,longer
37,1,SLN,longer,longer
37,2,LMR,equal,equal
37,3,HMR,equal,equal
38,1,LSN,longer,shorter
38,2,SMR,equal,equal
39,1,LMN,equal,equal
39,2,HLN,longer,longer
39,3,HMR,equal,equal
39,4,HSN,equal,shorter
39,5,SSN,equal,shorter
39,6,HMN,equal,equal
39,7,SMN,equal,equal
39,8,HSR,longer,shorter
39,9,HLR,equal,longer
39,10,SLR,longer,longer
39,11,SLN,longer,longer
39,12,LSN,equal,shorter
39,13,LLN,equal,longer
39,14,SMR,equal,equal
39,15,SSR,equal,shorter
39,16,LLR,shorter,longer
39,17,LSR,equal,shorter
39,18,LMR,shorter,equal
40,1,HMR,equal,equal
40,2,HLR,equal,longer
40,3,SMN,equal,equal
40,4,HMN,equal,equal
40,5,SMR,equal,equal
40,6,LLN,equal,longer
40,7,LSR,equal,shorter
42,1,SSR,equal,shorter
42,2,SMN,equal,equal
42,3,LMN,equal,equal
43,1,HLN,equal,longer
42,4,LMR,equal,equal
43,2,SSR,equal,shorter
40,8,HSN,shorter,shorter
42,5,HMN,equal,equal
43,3,SMR,shorter,equal
40,9,SLN,longer,longer
42,6,SLN,longer,longer
43,4,LMN,equal,equal
40,10,LSN,shorter,shorter
42,7,HMR,equal,equal
43,5,HLR,shorter,longer
40,11,SLR,shorter,longer
42,8,HLN,longer,longer
43,6,LLR,equal,longer
42,9,LSN,equal,equal
40,12,LMR,equal,equal
43,7,LMR,equal,equal
42,10,HLR,shorter,longer
42,11,SLR,shorter,longer
40,13,SSR,longer,shorter
43,8,HSN,equal,shorter
42,12,HSR,equal,shorter
40,14,SSN,equal,shorter
43,9,LSR,equal,shorter
40,15,LMN,equal,equal
42,13,LLN,longer,longer
42,14,SMR,equal,equal
43,10,LSN,equal,shorter
42,15,SSN,equal,shorter
42,16,HSN,equal,shorter
40,16,HLN,longer,longer
42,17,LLR,shorter,equal
42,18,LSR,equal,shorter
40,17,LLR,equal,longer
40,18,HSR,longer,shorter
44,1,LMN,shorter,equal
44,2,HSN,equal,shorter
44,3,SSR,equal,shorter
44,4,LLN,equal,longer
44,5,LLR,equal,longer
44,6,HSR,shorter,shorter
44,7,SMR,equal,equal
44,8,SLR,shorter,longer
44,9,SMN,equal,equal
44,10,SLN,shorter,equal
44,11,LSR,shorter,shorter
44,12,HMN,equal,equal
44,13,LSN,shorter,shorter
44,14,HLN,equal,longer
44,15,HMR,equal,equal
44,16,HLR,shorter,longer
44,17,SSN,equal,shorter
44,18,LMR,shorter,equal
45,1,LMN,shorter,equal
45,2,HLN,shorter,longer
45,3,LSN,shorter,shorter
45,4,SSN,equal,equal
45,5,LSR,equal,shorter
45,6,SSR,equal,shorter
29,5,SSN,shorter,shorter
29,6,SLR,shorter,longer
45,7,HMN,equal,equal
29,7,HMR,equal,equal
45,8,SLR,shorter,longer
29,8,LMN,shorter,equal
45,9,LLN,longer,equal
45,10,HLR,shorter,longer
45,11,LLR,equal,longer
45,12,HSR,shorter,shorter
46,1,SLN,longer,longer
45,13,HMR,equal,equal
45,14,HSN,shorter,shorter
45,15,SLN,shorter,longer
45,16,SMN,equal,equal
45,17,SMR,longer,equal
46,2,LSN,longer,equal
29,9,HLR,longer,longer
45,18,LMR,shorter,equal
29,10,HSN,shorter,shorter
29,11,LLR,shorter,longer
29,12,LLN,equal,longer
29,13,HSR,equal,shorter
29,14,LSR,equal,shorter
29,15,SMR,shorter,equal
29,16,SLN,equal,equal
47,1,HMN,equal,equal
47,2,HLR,shorter,longer
47,3,LSR,longer,shorter
47,4,LSN,equal,shorter
47,5,HMR,longer,equal
47,6,SMR,shorter,equal
47,7,SLN,longer,equal
47,8,HSN,equal,shorter
47,9,SMN,equal,equal
47,10,LMN,equal,equal
48,1,LSN,equal,shorter
47,11,SSN,shorter,shorter
47,12,HLN,longer,longer
47,13,SSR,equal,equal
47,14,LMR,shorter,equal
47,15,SLR,shorter,longer
48,2,HSR,longer,shorter
47,16,HSR,longer,shorter
47,17,LLN,longer,longer
47,18,LLR,shorter,longer
49,1,SMR,equal,equal
49,2,LSR,equal,shorter
49,3,HMN,equal,equal
49,4,LMR,equal,equal
50,1,HSR,equal,shorter
50,2,SMR,equal,equal
50,3,LLN,equal,longer
50,4,LSN,equal,shorter
50,5,HLN,longer,longer
50,6,SLR,shorter,longer
50,7,HMR,shorter,equal
50,8,SMN,equal,equal
50,9,LMN,equal,equal
50,10,SLN,equal,longer
50,11,SSR,equal,shorter
50,12,SSN,shorter,shorter
50,13,HSN,equal,shorter
50,14,HMN,equal,equal
50,15,LLR,shorter,longer
50,16,LMR,equal,equal
50,17,HLR,equal,longer
50,18,LSR,equal,shorter
51,1,LLR,shorter,longer
51,2,SLR,shorter,longer
51,3,SLN,longer,longer
51,4,HLR,shorter,longer
51,5,LMN,longer,equal
51,6,HSN,equal,shorter
29,17,HMN,equal,equal
29,18,SMN,equal,equal
51,7,HMN,equal,equal
51,8,LMR,longer,equal
51,9,LSN,equal,shorter
51,10,HLN,equal,longer
51,11,SSN,equal,shorter
51,12,SSR,shorter,shorter
51,13,SMR,shorter,equal
51,14,LSR,longer,equal
51,15,SMN,equal,equal
51,16,HSR,equal,shorter
51,17,HMR,longer,equal
51,18,LLN,equal,longer
52,1,HLN,equal,longer
53,1,SMN,shorter,equal
53,2,LSN,shorter,shorter
53,3,HMN,shorter,equal
53,4,SLN,longer,longer
53,5,LLN,longer,longer
53,6,HSN,shorter,shorter
53,7,SSR,longer,shorter
53,8,HMR,equal,equal
53,9,LMR,equal,equal
53,10,LSR,longer,shorter
53,11,SSN,shorter,shorter
53,12,SMR,equal,equal
53,13,LLR,shorter,longer
53,14,HSR,longer,shorter
53,15,SLR,shorter,longer
53,16,HLN,longer,longer
53,17,HLR,shorter,longer
53,18,LMN,equal,equal
52,2,LSR,equal,shorter
52,3,LMR,equal,longer
54,1,HMN,equal,equal
54,2,HLN,longer,longer
54,3,SMN,equal,equal
54,4,LLN,equal,longer
56,1,LMR,equal,equal
56,2,HSR,longer,shorter
56,3,SSR,longer,shorter
