id,experiment_id,trial_number,question_id,sequence_a_first_tone,sequence_a_second_tone,sequence_a_gap_duration,sequence_b_first_tone,sequence_b_second_tone,sequence_b_gap_duration,response,created_at
46,15,1,HSN,500,600,540,500,500,600,longer,2024-12-04 10:30:45.602+00
47,15,2,SMR,500,500,600,500,500,600,longer,2024-12-04 10:30:50.518+00
48,15,3,LLR,500,500,600,500,400,660,equal,2024-12-04 10:30:54.962+00
49,15,4,HSR,500,500,600,500,600,540,longer,2024-12-04 10:30:59.374+00
50,15,5,HLN,500,600,660,500,500,600,longer,2024-12-04 10:31:04.773+00
51,15,6,LSN,500,400,540,500,500,600,equal,2024-12-04 10:31:09.272+00
52,15,7,LMN,500,400,600,500,500,600,longer,2024-12-04 10:31:13.789+00
53,15,8,LLN,500,400,660,500,500,600,shorter,2024-12-04 10:31:18.368+00
54,15,9,HLR,500,500,600,500,600,660,longer,2024-12-04 10:31:22.941+00
55,15,10,LMR,500,500,600,500,400,600,shorter,2024-12-04 10:31:27.393+00
56,15,11,SLN,500,500,660,500,500,600,shorter,2024-12-04 10:31:34.239+00
57,15,12,HMR,500,500,600,500,600,600,longer,2024-12-04 10:31:39.439+00
58,15,13,HMN,500,600,600,500,500,600,longer,2024-12-04 10:31:45.116+00
59,15,14,SLR,500,500,600,500,500,660,longer,2024-12-04 10:31:50.045+00
60,15,15,LSR,500,500,600,500,400,540,equal,2024-12-04 10:31:54.68+00
61,15,16,SMN,500,500,600,500,500,600,equal,2024-12-04 10:31:59.445+00
62,15,17,SSN,500,500,540,500,500,600,shorter,2024-12-04 10:32:04.446+00
63,15,18,SSR,500,500,600,500,500,540,longer,2024-12-04 10:32:08.907+00
64,18,1,LLN,500,400,660,500,500,600,longer,2024-12-08 13:43:10.501+00
65,18,2,SLR,500,500,600,500,500,660,equal,2024-12-08 13:43:18.349+00
66,18,3,HMN,500,600,600,500,500,600,longer,2024-12-08 13:43:26.812+00
67,18,4,HMR,500,500,600,500,600,600,equal,2024-12-08 13:43:33.253+00
68,18,5,LMR,500,500,600,500,400,600,equal,2024-12-08 13:43:39.387+00
69,18,6,LSR,500,500,600,500,400,540,equal,2024-12-08 13:43:45.248+00
70,18,7,SMN,500,500,600,500,500,600,shorter,2024-12-08 13:43:51.568+00
